id,type,subtype,external_contract,invalid,new,advertiser,description,transactions,transaction_type,value,reduced,periodicity_id,ubication,zipcode,highlight,date,energy_letter,energy_value,environment_letter,environment_value,multimedia_type_2,multimedia_type_6,multimedia_type_12,multimedia_type_21,multimedia_type_5,rooms,bathrooms,surface,energyCertificate,orientation,hotWater,heating,conservationState,antiquity,floor,surfaceLand,orientation,conservationState,antiquity,parking,elevator,furnished,floor,hotWater,heating,Aire acondicionado,Calefacción,Parquet,Balcón,Lavadero,Terraza,Trastero,Cocina Office,Horno,Armarios,Suite - con baño,Z. Comunitaria,Electrodomésticos,Videoportero,Jardín Privado,Patio,Cocina Equipada,Gres Cerámica,Puerta Blindada,Piscina comunitaria,Internet,Alarma,Baño de huéspedes,Muebles de diseño,Música ambiental,Domótica,Serv. portería,Nevera,Lavadora,Microondas,TV,Ascensor interior,Piscina,Zona Infantil,Zona Deportiva,Sauna,Jacuzzi,Gimnasio,Pista de Tenis,Energía Solar,Sistema Video vigilancia CCTV 24h,Cuarto lavado plancha,Cuarto para el servicio,country,level1,level2,level3,level4,level5,level6,level7,level8,upperLevel,countryId,level1Id,level2Id,level3Id,level4Id,level5Id,level6Id,level7Id,level8Id,accuracy,latitude,longitude
181265850,2,1,False,False,False,Sebastian,"Piso con 3 habitaciones con ascensor, calefacción y aire acondicionado

FANTÁSTICO PISO REFORMADO EN DIAGONAL MAR I FRONT MARITIM

 fantástico Piso reformado, situado en la zona de Forum, próximo a la estación de Metro Forum-Maresme (L4), cuenta con servicios, colegios y comercios cercanos, al lado del centro comercial Diagonal Mar.

La finca fue construida en el año 1979, se encuentra totalmente rehabilitada y dispone ascensor.

El inmueble se encuentra en un 2º real de altura, consta de 90 m² construidos, distribuidos en amplio recibidor, cocina independiente   lavadero, un amplio salón comedor de 26 m² con salida a un espléndido balcón.

La zona de noche cuenta con 3 habitaciones (2 dobles),1 individual y 1 baño completo.

Acabados interiores con ventanas de aluminio blanco con doble cristal, Calefacción de gas natural y aire acondicionado (Split), suelo gres porcelánico en comedor, baño y cocina y puertas de roble.

Orientación Noroeste.

Posibilidad de dos plazas de parking en otra finca (no incluidas en el precio).

SOLICITA TU VISITA SIN COMPROMISO
¡NO LO DEJES ESCAPAR!",1,1,335000,0,0,"Carrer de Llull, 402",08019,False,2023-12-03T11:06:50.927,7,999.0,7,999.0,25,,,,,3,1,90,7,3,0,0,2,6,0,0,Noreste,Muy bien,30 a 50 años,2.0,1.0,,,,,1,3,9,32,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Sant Martí,El Besós i el Maresme,El Besós i el Maresme,724,9,8,232,376,8019,0,1145,306,1,41.411884,2.2171452
162294416,2,5,False,False,False,Jose j. MONTOYA,"Casa adosada accesible y adaptada en el barrio de Horta Guinardó. Barcelona.

Esta vivienda adosada accesible y adaptada, comunica el ascensor con todas las plantas.

La primera planta tiene un salón con chimenea, comedor, cocina abierta y lavadero. En la segunda planta está distribuida en una sala estudio, un baño y dos habitaciones. La tercera planta consta de una habitación un baño y terraza.

La vivienda está en perfecto estado de habitabilidad, tiene ventanas de aluminio con doble vidrio y oscilo batientes, la carpintería interior es de roble, en el suelo parquet de tarima flotante, las escaleras de madera, la terraza con celosías y pérgola.

La vivienda está muy bien comunicada, por línea de metro y autobús al lado de la Ronda de Dalt. La zona dispone de servicios, colegios, hospitales, centros de ocio, el barrio es muy tranquilo con excelentes vistas al Parc de Collserola. Se puede solicitar aparcamiento para discapacitados junto a la vivienda.",1,1,465000,0,0,"Carrer de Santa Albina, 22",08035,False,2022-01-12T09:46:56.833,5,93.0,5,25.0,23,,,,,4,2,180,5,2,0,0,2,5,0,65,Noroeste,Muy bien,20 a 30 años,,1.0,,,,,1,3,9,,,10,11,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Horta - Guinardó,La Teixonera,La Teixonera,724,9,8,232,376,8019,0,1149,334,1,41.42282,2.14938
178109106,2,1,False,False,False,CRISTINA,"Piso de 92m2 en La Bordeta.
Amplio y luminoso piso con balcón en calle Gavà.
Gran oportunidad en una finca del 1998 con tan solo 8 vecinos.
Ubicado en la 2ª planta con ascensor, este bonito piso consta de recibidor, amplia cocina independiente, salón comedor con salida al balcón, 3 dormitorios con baño completo y un aseo.
Dispone de calefacción por radiadores y aire acondicionado en el salón. Ventanas con carpintería de aluminio y doble acristalamiento. 
Situado en la calle Gavà, Barrio de La Bordeta, bien comunicado, cerca de líneas de metro, autobús, ferrocarriles catalanes, con todos los servicios de colegios, guarderías, comercios, parque con juegos infantiles a 2 minutos, además de gran oferta sociocultural en la zona.
El precio de venta no incluye ni impuestos ni gastos que gravan la compraventa.",1,1,350000,0,0,"Carrer de Gavà, 55",08014,False,2023-06-08T11:00:27.253,7,999.0,7,999.0,25,,,,,3,2,92,7,2,0,0,3,5,0,0,Noroeste,Bien,20 a 30 años,,1.0,1.0,,,,1,3,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Sants - Montjuïc,La Bordeta,La Bordeta,724,9,8,232,376,8019,0,1144,295,1,41.371067,2.139948
177397066,2,1,False,False,False,pisocarlosgranvia,"Gran vía de les corts catalanes junto plaza españa
Piso de tres habitaciones dobles, un baño completo y terraza en la misma Gran Vía de les Corts Catalanes núm. 286 a 5 minutos caminando de la Plaza de España.
Terraza con vistas directas a la Gran Vía con una altura de 5 pisos y se ve la Plaza de España.
Excelentes comunicaciones por autobús (parada junto a la puerta), metro y coche, plazas de parking en la misma finca (no incluidas en el precio).
Todos los servicios a un paso, supermercados, colegios, fruterías, panadería, cafeterías, bares, restaurantes (españoles, indio, etc. ), comida para llevar, oficina de correos justo al lado, a diez minutos caminando de las Fuentes Mágicas de Montjuic, rodeado por el espacio verde de la montaña de Montjuic ideal para hacer ejercicio al aire libre o pasar un rato en la naturaleza cerca de casa.
A pocos minutos en coche del centro comercial Gran Vía 2 y del Ikea Gran Vía.
Dispone de 2 ascensores, servicio de portería que incluye limpieza de la escalera y cámaras de vigilancia para la seguridad de todas las entradas al edificio.
Terrazas comunitarias en la azotea con vistas a  Montjuic y toda Barcelona. Distribución
3 habitaciones
Superficie 80 m2
Balcón / Terraza 7 m2
1 Baño
Lavadero
Características generales
Calefacción
Aire acondicionado
Planta número 6
Año construcción 1975
Vistas a la ciudad
Cerca de transporte público.
Ascensor
Vigilancia.",1,1,285000,0,0,"Gran Via de Les Corts Catalanes, 286",08004,False,2023-04-07T23:31:07.983,7,999.0,7,999.0,16,,,,,3,1,80,7,8,0,0,2,0,0,0,Oeste,Muy bien,,,1.0,,,,,1,3,9,32,109,10,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Sants - Montjuïc,La Font de la Guatlla,La Font de la Guatlla,724,9,8,232,376,8019,0,1144,294,1,41.371857,2.1454303
163762104,2,1,False,False,False,Jose Maria,"595.000€  30.000 de parking No se vende el inmueble sin parking.

Piso para entrar a vivir en el centro de barcelona.
Piso impecable con parking en la calle Comte d´Urgell de Barcelona.
Orientado a Tarragona, céntrico y con todos los servicios a su alcance.
Excelente comunicación con el transporte público (autobuses y metro) y con parada del autobús directo al aeropuerto (aerobús) a dos calles.

El piso, situado en el Eixample Esquerra, está en la planta cuarta (quinta real). Consta de 142 m2 construidos y una superficie útil de aproximadamente 120m2.

La finca tiene dos ascensores de los cuales uno de ellos, mediante llave codificada, da acceso a la plaza de parking incluida en el precio.

Consta de amplio recibidor, salón comedor con chimenea muy soleado y con salida a terraza con vistas despejadas.
Tiene 4 habitaciones, dos baños y una cocina SANTOS con salida al lavadero.

La distribución se resume en:
4 habitaciones
Dos baños
Salón comedor amplio con vistas al exterior
Cocina equipada e independiente
Lavadero.
Armarios empotrados
Cómodos altillos.
Equipado con parquet, aire acondicionado, calefacción a gas y cerramientos de aluminio.

última modificación 27042022

Distribución
4 habitaciones
Superficie 142 m2
2 Baños
Estado cocina: muy bueno
Lavadero
Características generales
Calefacción
Chimenea
Plaza parking
Aire acondicionado
Planta número 4
Cerca de transporte público
Certificado energético:
Consumo: G 999 kW h m2  año
Emisiones: G 999 kg CO2 m2  año
Ver etiqueta calificación energética
Equipamiento comunitario
Ascensor.

Precio

595.000 €
4.190 eurm2
Calcular hipoteca
Características básicas

142 m2 construidos
4 dormitorios
2 baños
Terraza
Segunda manoBuen estado
Armarios empotrados
Sur",1,1,595000,0,0,"Carrer del Comte D'urgell, 110",08011,False,2022-06-06T13:36:48.443,3,101.0,3,31.0,27,,,,,4,2,142,3,4,0,0,1,0,0,0,Sur,Casi nuevo,,2.0,1.0,1.0,,,,1,3,9,32,109,10,,,,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Eixample,L'Antiga Esquerra de l'Eixample,L'Antiga Esquerra de l'Eixample,724,9,8,232,376,8019,0,1151,279,1,41.38421,2.15606
163613881,2,1,False,False,False,Luis,"Hola, os ofrezco este maravilloso piso, listo para entrar a vivir en Passeig Joan de Borbó. 

A dos calles de la playa, este piso consta de 60m2, con un salón - comedor muy luminoso durante el dia que da exterior a calle, con un balcón de 4m2 para una mesa y sillas. 
La distribución consta de 3 habitaciones (2 dobles y 1 individual) las dobles siendo exterior. Una cocina a gas con acceso al lavadero, armarios empotrados y horno incluido. Un baño moderno completo con mampara, mueble, espejo y bidé. 

Incluye aire acondicionado split y calefacción tipo individual con bomba de fríocalor.
Finca del año 1966 con ascensor y un trastero comunitario.
El piso tiene una terraza comunitaria con vistas 360 unicas a la playa y practicamente a toda Barcelona.

A dos minutos caminando de la playa Barceloneta, a algunas calles de la parada de Metro línea amarilla de Barceloneta (L4) y con dos líneas de bus (V19 y V15) en la misma calle, dispondran a todo tiempo la habilidad de moverse por la ciudad y de tener todo los servicios necesarios a su alcance. 

Ven a visitarlo, te encantará!




Hey, I offer you this wonderful apartment, ready to move in on the street Passeig Joan de Borbó.

Two streets from the beach, this apartment consists of 60m2, with a very bright living-dining room that overlooks the calm street with sunshine all day and a 4m2 balcony for a table and a couple of chairs.
The distribution consists of 3 rooms (2 doubles and 1 single), the doubles being exterior. A gas kitchen with access to the laundry room with the appliances, fitted cabinets and oven included. A modern bathroom complete with shower plate, furniture, mirror and bidet.

Includes split air conditioning and individual type heating with coldheat pump.
Building is from 1966 with an elevator and a storage room. The best option if you want to live next to the beach in Barceloneta!

The apartment has a communal terrace with unique 360 ​​views of the beach and practically all of Barcelona.

A two-minute walk ",1,1,345000,0,0,Passeig de Joan de Borbó,08003,False,2022-05-24T01:11:48.597,5,203.0,5,41.0,20,,,,,3,1,60,5,8,0,0,2,2,0,0,Oeste,Muy bien,1 a 5 años,,1.0,1.0,,,,1,3,,32,109,10,11,,,2,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Ciutat Vella,La Barceloneta,La Barceloneta,724,9,8,232,376,8019,0,1152,348,1,41.37917,2.1876452
178134552,2,1,False,False,False,Santjoanistes,"IMPORTANTE!!! Dejar T e L E FF ono
Gran piso renovado, luz exterior en todo el piso.
Piso reformado en su totalidad en el año 2019 renovando: Instalaciones de agua (con descalcificador en la entrada) y electricidad (incluyendo Iluminación por leds), calefacción por suelo radiante y aire acondicionado mediante sistema Aerotermia (mucho más eficiente y económico), temperatura graduable individualmente en cada estancia mediante domótica (panel central y aplicación móvil), instalación de hilo musical digital con radio y bluetooth en todas las estancias. Todas las ventanas son nuevas de PVC antiruido y rotura puente térmico y oscilobatientes.

Al entrar al piso el recibidor hace de división entre la zona de día y la zona de noche. En la zona de día encontramos un salón-comedor con mucha luz y techo con vuelta catalana, una amplia cocina totalmente equipada con un lavadero. El recibidor, el cual consta de varios armarios empotrados, tiene un despacho perfecto para teletrabajar y un baño totalmente equipado con plato de ducha. Finalmente, en la zona de noche hay 3 habitaciones, una de ellas con armario empotrado, y la tercera tipo suite que dispone de dos grandes armarios empotrados y un amplio baño con plato de ducha. Las tres habitaciones disponen de paredes y techos insonorizados además de ventilador en el techo para aquellas noches que no es necesario el Aire Acondicionado.

Ascensor, ITE del año 2017, trastero de 3 m2 (reformado a principios del 2020), gastos de comunidad 100€",1,1,600000,0,0,"Carrer de Balmes, 290",08006,False,2023-06-10T14:21:43.523,7,999.0,7,999.0,19,,,,,4,2,130,7,7,0,0,8,0,0,0,Este,Reformado,,,1.0,1.0,,,,1,3,9,,109,,11,,,2,18,,21,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Sarrià - Sant Gervasi,El Putget i el Farró,El Putget i el Farró,724,9,8,232,376,8019,0,1143,288,1,41.401844,2.1466706
176916899,2,1,False,False,False,Alicia,"ABSTENERSE AGENCIAS.

Excelente vivienda en exclusiva, totalmente reformada, con mucho gusto, además de su elegancia y clase en su mobiliario dando la estética perfecta y el gran confort para que te sientas como en casa.

Alto y luminoso y se distribuye en ·un gran salón comedor con grandes ventanales al exterior proporcionando luz natural todo el día.

Tiene 2 dormitorios dobles y muy espaciosos, con sus muebles a medida, 1 habitación individual con armario empotrado espaciosa y otra habitación individual convertida en vestidor, hecho a medida.

Todo el techo del pasillo es un trastero y las paredes del mismo son armarios con puertas correderas para almacenaje.

Consta de un baño completo con bañera y una cocina independiente con gran capacidad de almacenaje muy funcional.

Esta propiedad cuenta con aire Acondicionado y calefacción a gas.

Tiene una gran terraza comunitaria, conserje y es finca regia, rehabilitada.

Muy bien comunicada. , en l´Antiga Eixample Esquerre, en Calle París, junto a Muntaner, Aribau, Av. Diagonal, con todos los servicios y rodeada de comercios, restaurantes, bares, supermercados, colegios, farmacias.. . vive en el centro de la ciudad y con todo a pie de calle, zona tranquila y familiar. 

Contacta por whatsApp
Alicia :  3 4 6 3 7 5 1 6 3 7 0",1,1,605000,0,0,"Carrer de París, 171",08036,False,2023-02-24T10:15:54.657,5,45.0,6,215.0,23,,,,,4,1,105,5,5,0,0,8,3,0,0,Sureste,Reformado,5 a 10 años,,1.0,1.0,,,,1,3,9,,,,11,,,2,,12,21,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Eixample,L'Antiga Esquerra de l'Eixample,L'Antiga Esquerra de l'Eixample,724,9,8,232,376,8019,0,1151,279,1,41.3927,2.15184
181125744,2,1,False,False,False,Ignacio,"Inmueble singular en edificio catalogado e histórico de Barcelona.
Oportunidad temporal. 
Situado frente a la Facultad Náutica y enclavado en una de las plazas más conocidas de la ciudad, este increíble piso consta de diversas peculiaridades que lo hacen muy especial.
El puerto de Barcelona, sus playas más céntricas, el Parque de la Ciudadela, el Hospital del Mar, así como el encontrarse dentro y rodeado del corazón histórico de la ciudad. 
Entre los barrios del Born y el Gótico.
Todas las combinaciones posibles de transportes. 
En definitiva, un exclusivo inmueble en un enclave único.
En primer lugar, destacar sus características. Alto standing en el centro del casco histórico de la ciudad y junto al mar.
Consta de espacioso salón, con cocina abierta completamente equipada. Tres amplías habitaciones, dos baños completos y materiales de construcción de buena calidad.
Vistas a la Catedral de Santa María del Mar y de toda la ciudad. Mejor ver. 
Se encuentra en muy buen estado de conservación.
El edificio tiene todas las inspecciones pasadas.
Finca con interior y exterior reformada.
Edifico catalogado.
Unique property in a listed and historic building in Barcelona.Temporary opportunity.
Located in front of the Nautical Faculty and nestled in one of the best-known squares in the city, this incredible apartment has various peculiarities that make it very special.The port of Barcelona, its most central beaches, the Ciudadela Park, the Hospital del Mar, as well as being within and surrounded by the historic heart of the city.
Between the Born and Gothic neighborhoods.
All possible transport combinations.
In short, an exclusive property in a unique enclave.
First of all, highlight its characteristics. High standing in the center of the historic center of the city and next to the sea.It consists of a spacious living room, with a fully equipped open kitchen. Three large bedrooms,two full bathrooms and good quality construction materials.Listed building. All inspections passed",1,1,480000,0,0,"Calle Pla de Palau, 10",08003,False,2023-11-18T14:13:32.227,7,999.0,7,999.0,17,,,,,3,2,93,7,8,0,0,2,0,0,0,Oeste,Muy bien,,,1.0,,,,,1,3,9,32,109,10,,,,,18,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Ciutat Vella,"Sant Pere, Sta. Caterina i la Ribera","Sant Pere, Sta. Caterina i la Ribera",724,9,8,232,376,8019,0,1152,347,1,41.383404,2.1837845
181190925,2,1,False,False,False,Imma SJ,"Ultima oportunidad de compra, por poco tiempo.

También se alquila con obligación de compra.

Si me preguntas la altura del piso, la eficiencia energética, los gastos, la orientación, si tiene parking en el mismo edificio, etc. sospecharé que buscas una simple vivienda en la mejor zona de Barcelona, que no estás buscando un piso singular dentro de una finca emblemática, porqué todos esos detalles son secundarios cuando lo que quieres es esta pieza arquitectónica tan especial.
Pero, para satisfacer curiosidades, puedo explicar que, además de ser una reliquia del pasado, un espacio dentro de un antiguo palacete, ofrece las comodidades de cualquier edificio moderno, ni alto ni bajo, a la altura justa para dificultar que se descuelguen intrusos y para que trepen ratones o cucarachas.
Afortunadamente, está orientado al NE, algo que se agradece con el cambio climático y muy tenido en cuenta cuando se construyen viviendas sostenibles.
No deberías preguntar cual es su superficie, porqué el catastro no sabe que es mayor y que es toda útil, porqué en la reforma eliminamos cualquier desperdicio de espacio y disfrutamos su altura de techos. ¡Ah, sí!, pero sus sólidos muros se quedarán ahí, reivindicando el terreno que ocupen, porqué no me los llevaré, aunque esto te impida colocar una cómoda o un sofá. Pero tú los puedes eliminar, si no los valoras, cuando sean tuyos.
Y cuando la valoración de la eficiencia energética se adapte a los edificios antiguos de piedra con cerramientos de buena madera, los materiales más aislantes, será clasificado como A.

Visitas restringidas. Sólo se permitirán a potenciales compradores.",1,1,595000,0,0,"Carrer del Berlinès, 5",08006,False,2023-11-24T18:12:33.313,7,999.0,7,999.0,18,,,,,3,2,104,7,3,0,0,2,9,0,0,Noreste,Muy bien,+ 100 años,,1.0,,,,,1,3,9,,,10,11,,,2,18,,21,81,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Sarrià - Sant Gervasi,Sant Gervasi- Galvany,Sant Gervasi- Galvany,724,9,8,232,376,8019,0,1143,285,1,41.40354,2.1396308
