id,type,subtype,external_contract,invalid,new,advertiser,description,transactions,transaction_type,value,reduced,periodicity_id,ubication,zipcode,highlight,date,energy_letter,energy_value,environment_letter,environment_value,multimedia_type_2,multimedia_type_5,multimedia_type_21,multimedia_type_6,multimedia_type_12,rooms,bathrooms,surface,energyCertificate,orientation,hotWater,heating,conservationState,antiquity,floor,surfaceLand,hotWater,conservationState,antiquity,elevator,furnished,floor,parking,orientation,heating,Armarios,Gres Cerámica,Parquet,Terraza,Electrodomésticos,Horno,Lavadero,Cocina Equipada,Cocina Office,Aire acondicionado,Calefacción,Trastero,Piscina comunitaria,Jardín Privado,Z. Comunitaria,Zona Infantil,Serv. portería,Puerta Blindada,Nevera,Balcón,Patio,Gimnasio,Alarma,Lavadora,Piscina,Zona Deportiva,Videoportero,Suite - con baño,Microondas,Internet,Domótica,Baño de huéspedes,TV,Energía Solar,Sauna,Pista de Tenis,Sistema Video vigilancia CCTV 24h,Ascensor interior,Jacuzzi,Cuarto lavado plancha,Porche cubierto,Cuarto para el servicio,country,level1,level2,level3,level4,level5,level6,level7,level8,upperLevel,countryId,level1Id,level2Id,level3Id,level4Id,level5Id,level6Id,level7Id,level8Id,accuracy,latitude,longitude
179755071,2,6,False,False,False," FINQUES APARICI-HUMET ASSOCIATS, SL","magnifico Ático dúplex de 120 m2 mas dos terrazas de 40 m2 y 20m2, una en cada planta, 4 habitaciones, comedor, cocina, baño y aseo, se esta instalando ascensor en la finca ",1,1,445000,20000,0,"Avinguda de Can Baró, 16",08024,False,2023-11-14T10:33:10.81,7,284.0,7,74.0,18,,,,,4,2,120,7,0,1,0,3,7,0,0,Gas Natural,Bien,50 a 70 años,1.0,0.0,,,,,2,6,9,10,21,22,109,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Horta - Guinardó,Can Baró,Can Baró,724,9,8,232,376,8019,0,1149,341,1,41.41579,2.1616
161899598,2,1,False,False,False,FINCAS LAYES,"Pieza muy interesante por su ubicación junto a Plaza Sant Jaume, por su marcada identidad clásica y carácter y por su multiplicidad de usos:
Les presentamos un precioso local-vivienda reformado: 2 locales en rentabilidad a pie de calle y vivienda de unos 55 m2 útiles, formando una única entidad registral:
Locales en planta baja.
Vivienda en planta +1
El edificio es representativo del gótico y se encuentra en buen estado de conservación.
En cuanto al activo que les presentamos éste cuenta con reforma que aprovecha el espacio al milímetro y que conjuga de forma inmejorable la funcionalidad moderna y el bagaje histórico de esta maravillosa pieza: bóveda catalana, perímetros en piedra, ladrillo visto y magníficos forjados en balconeras.
Ambos locales se encuentran operativos y en perfecto estado de conservación, con negocios rentables y en activo.
Venga a visitarlo!",1,1,650000,50000,0,"Carrer del Cometa, 6",08002,False,2021-11-22T18:11:35.927,5,108.0,5,27.0,32,,,,,1,1,140,5,0,0,0,0,9,6,0,,,+ 100 años,,1.0,1ª planta,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Ciutat Vella,Barri Gòtic,Barri Gòtic,724,9,8,232,376,8019,0,1152,350,1,41.382084,2.1791449
178318934,2,1,False,False,False,ADSOLUM REAL ESTATE,"Vivienda de 3 dormitorios y 2 baños, con terraza de 5 m2.  Dispondrás en nuestra promoción de una magnifica piscina de cloración salina en la azotea del edificio. Imagina disfrutar de momentos de relajación y diversión en un entorno único, rodeado de vistas panorámicas de la ciudad de Barcelona. Plazas de garaje y trasteros disponibles, no incluidos en el precio. Máxima eficiencia energética calificada como A. 

Consulta condiciones en Oficina de Ventas en Carrer Mare de Déu de Port 305 Barcelona. ",1,1,351000,0,0,"Calle Vilageliu I Gavalda, 8",08038,False,2023-06-27T08:54:29.543,1,999.0,1,999.0,29,1.0,,,,3,2,109,1,0,0,0,0,0,6,0,,,,1.0,,1ª planta,2.0,,,,,,,,,,,,1,3,11,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Sants - Montjuïc,,Sants - Montjuïc,724,9,8,232,376,8019,0,1144,0,1,41.35654,2.1457396
179204447,2,1,False,False,False,BARCINO JURIDIC SL,"IMPECABLE PISO  JUNTO EL PARC GÜELL, CON PISCINA Y JARDÍN COMUNITARIO.

Tenemos el placer de presentarles en exclusiva  este magnífico y exclusivo piso de 2 habitaciones, totalmente exterior, con mucho sol y absoluta tranquilidad.

El jardín con árboles y césped natural es comunitario y tiene una superficie total de 410m2, dónde podrás disfrutar de la piscina, zona solárium y zona de barbacoa.

El piso tiene un agradable trastero de 10m2, estilo estudio con vistas panorámicas a la Vall de d'Hebron y al Montseny. 
También tiene terrado comunitario. 

Finca en perfecto estado del año 1994, con ascensor. 

Zona privilegiada e inmejorable junto al PARC GÜELL,  tiene todos los servicios deseados a su disposición, METRO, BUSES, CAP del médico, biblioteca, los mejores colegios públicos o concertados de Bcn.",1,1,199000,6000,0,,08032,False,2023-09-21T08:03:26.607,7,999.0,7,999.0,28,,,,,2,1,67,7,1,2,2,3,8,6,0,Electricidad,Bien,70 a 100 años,1.0,,1ª planta,,Norte,Electricidad,,6,,,,22,109,,,,,,94,7,12,83,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Horta - Guinardó,El Carmel,El Carmel,724,9,8,232,376,8019,0,1149,339,0,41.4221,2.1538649
181187532,2,1,False,False,False,WEST SIDE REAL STATE S.L.,"West Side vende en exclusiva:

Tenemos el placer de presentarles en la zona más residencial y elegante de Les Corts. Este increíble piso único en su zona, de 85m² útiles, reformado y con espectaculares vistas. 

Un elegante salón muy luminoso, con salida a terraza de 15m². Cocina americana totalmente equipada, dotada con muebles de alta calidad, encimera de mármol deckton, electrodomésticos y campana extractora con gran potencia. Además, dispone de una zona de lavadero anexada a la cocina. El piso cuenta con 2 dormitorios dobles, 1 tipo suite con grandes ventanales donde recibe mucha luz y el baño con plato de ducha.  Dos baños, ambos completos con cerámica antideslizante. 
El suelo de la vivienda es cerámica imitación tarima flotante laminada. Carpintería exterior con hojas batientes con rotura de puente térmico, Climalit con persianas apilables de lamas orientables motorizadas, incluye mosquiteras en todas las ventanas. Instalación adaptada para TV digital, TV por cable e incluye la antena colectiva y parabólica. Calefacción y aire acondicionado por conductos. 
Cuenta con una memoria de calidades de alto standing.

El propietario estaría dispuesto a negociar la venta de los muebles.  

Posibilidad de Plaza de garaje y trastero en la misma finca. 

La finca está dotada de videoportero electrónico y conserje. 

Destacamos la ubicación de este piso, muy cerca de transporte público, así como de las principales vías de Comunicación de entrada y salida de la Ciudad. En una zona muy tranquila y bien comunicada, a 5’ del CC. L’Illa Diagonal y de Centro médico.  

No dude en llamar y pedir más información.",1,1,615000,0,0,Carrer de Numància,08029,False,2023-11-24T12:50:15.433,5,200.0,5,39.99,30,,1.0,2.0,,2,2,100,5,0,0,0,0,6,12,0,,,30 a 50 años,1.0,,7ª planta,,,,2,,,10,,,,,,1,3,,,,,,28,84,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Les Corts,Barri de les Corts,Barri de les Corts,724,9,8,232,376,8019,0,1148,329,0,41.38529,2.1366787
177375275,2,7,False,False,False,"WALTER HAUS, S.L","Promoción de obra nueva en Gracia, Barcelona

Magnífica promoción de obra nueva ubicada en la calle Mare de Deu del Coll, en el privilegiado distrito de Gràcia.
Walter Haus presenta este conjunto residencial compuesto de 10 viviendas; 2 plantas bajas, 1 dúplex y pisos de 3 habitaciones y 2 baños y 2 habitaciones con 1 baño. Varios de ellos con su agradable balcón exterior.
Disponen de un maravilloso solarium comunitario en la azotea del edificio.

Acabados y marcas seleccionadas entre las mejores para poder ofrecer la máxima seguridad para ti y los que te rodean.

¡Entrega inmediata!

En una ubicación privilegiada, cerca de todos los servicios, zonas de ocio y restauración, parques y jardines, y muy bien comunicado con el transporte público; a pocos metros de las paradas de metro Vallcarca y Penitents y cerca de los ferrocarriles.

¡No dudes en venir a verla!
",1,1,563000,0,0,"Calle de la Mare de Déu del Coll, 10",08023,False,2023-04-05T12:34:45.597,5,159.0,5,32.0,10,3.0,,,,2,2,97,5,0,0,0,0,0,3,0,,,,,,Bajos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Gràcia,La Salut,La Salut,724,9,8,232,376,8019,0,1150,344,1,41.40838,2.15021
164995920,2,1,False,False,False,"FINCAS GONSENI, S.L","Fabulosa vivienda de estilo clásico, de 156m2 útiles y 175 m2 construidos.
Ubicada en la zona alta de Barcelona, en el barrio de Pedralbes.
Consta de cuatro habitaciones dobles, una individual, dos baños, un amplio salón comedor con chimenea, cocina office y lavadero.
Desde el salón - comedor se accede a una amplia terraza orientada a sur.
Inmueble con grandes posibilidades de crear espacios amplios y confortables.
Finca en buen estado, con el vestíbulo reformado y servicio de conserjería.
Zona residencial próxima a centros comerciales (Corte Inglés Diagonal, la Illa y Pedralbes Center) y con todos los servicios (hospitales de prestigio, colegios...) y transportes públicos.
Una muy buena propiedad, con un aire distinguido y señorial, en una de las mejores zonas de Barcelona.



",1,1,760000,115000,0,Carrer de Manila,08034,False,2022-09-29T19:32:00.487,5,122.0,5,25.0,33,,,,,5,2,175,5,5,0,0,0,7,6,0,,,50 a 70 años,1.0,1.0,1ª planta,1.0,Sureste,,,,,,,22,,,,,,,,,,,28,,25,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Les Corts,Pedralbes,Pedralbes,724,9,8,232,376,8019,0,1148,328,0,41.390236,2.1256878
163612101,2,6,False,False,False,"ASSESSORS IMMOBILIARIS ALGI,S.C.P.","Ático dúplex orientado a mar, en finca de 1862 completamente rehabilitada con ascensor (I. T. E. pasada). Vistas espectaculares a Barcelona.

Distribución: Planta inferior con salón-comedor con cocina americana, 1 aseo, 1 baño y 2 habitaciones dobles. Piso superior con sala de estar/suite con baño completo y salida a balcón-terraza.

Piso completamente exterior y muy luminoso con orientación a mar. Reformado para entrar a vivir, techos con ""revoltó"" y vigas de hormigón (todo nuevo), aire acondicionado y calefacción eléctricos.",1,1,225000,45000,0,Carrer Santcliment,08001,False,2022-05-23T20:11:45.883,5,152.0,5,32.0,21,,,,,3,2,70,5,5,0,0,0,9,31,0,,,+ 100 años,1.0,1.0,Otro,,Sureste,,2,6,,10,,,109,,,1,,,,,,,,84,,32,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Ciutat Vella,El Raval,El Raval,724,9,8,232,376,8019,0,1152,349,0,41.378643,2.1649203
181882052,2,1,False,False,False,OPTIMUM,"¡No pierdas la oportunidad de crear el hogar de tus sueños en Les Corts!

Este piso de 69m² o de origen ofrece una gran flexibilidad en su distribución para su reforma, lo que te permitirá crear el espacio único y personal que siempre has deseado. Sumérgete en un proyecto apasionante en el corazón de Les Corts – Su ubicación es inmejorable, en un barrio vibrante y muy familiar.

El inmueble está en una finca señorial con ascensor y ha pasado favorablemente la ITE.
La instalación eléctrica está actualizada y la escalera y el patio de luces han sido rehabilitados.
El piso es luminoso y tranquilo, con orientación Oeste.
¡Un lienzo en blanco lleno de posibilidades!

La distribución actual te ofrece tres habitaciones (una individual, una mediana y una grande), un baño con plato de ducha y una cocina semi-abierta.

El salón comedor te brinda un espacio luminoso y acogedor para disfrutar con los tuyos.

Flexibilidad para plasmar tu estilo debido a su forma rectangular y sus tabiques que te permitirán configurar el espacio a tu gusto y diseñar así, la distribución que mejor se adapte a tus necesidades creando un espacio único y personal.

Ubicación inmejorablea pocos pasos del Mercado de Les Corts, encontrarás una amplia variedad de tiendas, restaurantes y servicios. Disfruta de la comodidad de vivir en un barrio tranquilo y familiar, con excelentes conexiones de transporte público.

No pierdas esta oportunidad única de construir tu hogar ideal en Les Corts. ¡Contacta con nosotros para concertar una visita!",1,1,275000,0,0,Carrer de Galileu,08028,False,2024-02-07T13:20:02.49,5,166.0,5,33.0,24,,1.0,,1.0,3,1,69,5,8,0,0,4,9,0,0,,A reformar,+ 100 años,1.0,1.0,,,Oeste,,,6,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Les Corts,Barri de les Corts,Barri de les Corts,724,9,8,232,376,8019,0,1148,329,0,41.383404,2.1322684
177943659,2,3,False,False,False,LENA TA TAMEN SL,"Esta espectacular vivienda de 320 m2 se encuentra ubicada en una de las zonas más seguras y tranquilas del prestigioso barrio Sant Gervasi. Su gran luminosidad, amplios espacios interiores, distribución inteligente y reforma reciente son solo algunas características que la hacen única.

La propiedad cuenta con cinco habitaciones (dos suites), tres baños completos modernos además de un aseo para visitantes. Las áreas comunes están diseñadas pensando siempre el confort: sala principal perfectamente iluminada por luz natural; cocina equipada completamente amueblaba e integrable al área social; estudio ideal como espacio personal o profesional ; terraza cubierta donde disfrutar plenamente los días soleados junto a la piscina privativa rodeado por su hermoso jardín automatizado.",1,1,1250000,140000,0,Palma de Sant Genis,08035,False,2023-05-24T16:20:22.85,4,109.0,4,23.0,76,,,,,5,3,270,4,5,0,0,0,8,6,0,,,70 a 100 años,,,1ª planta,1.0,Sureste,,2,,,10,,,109,,15,1,3,,94,7,,,,,,32,16,42,77,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Gràcia,Vallcarca i els Penitents,Vallcarca i els Penitents,724,9,8,232,376,8019,0,1150,343,0,41.418514,2.1381104
