id,type,subtype,external_contract,invalid,new,advertiser,description,transactions,transaction_type,value,reduced,periodicity_id,ubication,zipcode,highlight,date,energy_letter,energy_value,environment_letter,environment_value,multimedia_type_2,multimedia_type_6,multimedia_type_12,multimedia_type_21,multimedia_type_5,rooms,bathrooms,surface,energyCertificate,orientation,hotWater,heating,conservationState,antiquity,floor,surfaceLand,orientation,floor,elevator,antiquity,furnished,conservationState,hotWater,heating,parking,Aire acondicionado,Parquet,Horno,Microondas,Serv. portería,Balcón,Lavadero,Armarios,Calefacción,Suite - con baño,Nevera,Puerta Blindada,Terraza,Electrodomésticos,Alarma,Cocina Equipada,Lavadora,Cocina Office,Patio,Videoportero,Piscina,Gres Cerámica,Jardín Privado,Trastero,Internet,Domótica,TV,Ascensor interior,Sistema Video vigilancia CCTV 24h,Z. Comunitaria,Zona Deportiva,Zona Infantil,Piscina comunitaria,Gimnasio,Baño de huéspedes,Cuarto para el servicio,Jacuzzi,Bodega,Sauna,Cuarto lavado plancha,Energía Solar,country,level1,level2,level3,level4,level5,level6,level7,level8,upperLevel,countryId,level1Id,level2Id,level3Id,level4Id,level5Id,level6Id,level7Id,level8Id,accuracy,latitude,longitude
181424803,2,1,False,False,False,BARNAQUATRE,"Piso reformado a estrenar de cuatro habitaciones en Eixample Esquerra. 

Consta de amplia sala de estar exterior a balcón con orientación sur muy soleado, cocina americana con galería adaptada con zona de aguas, dos habitaciones dobles, dos habitaciones individuales, un baño completo y un aseo de cortesía.

La vivienda se entrega completamente reformada a estrenar con acabados de calidad: suelos de parqué, carpintería de aluminio con puente térmico, encimera de Neolith, aire acondicionado frio/calor, radiador toallero en el baño principal e instalaciones restauradas. Equipada con vitrocerámica, horno y microondas.

Sexta planta de altura real en finca con doble ascensor y servicio de portería. Muy bien comunicado con metro Entença y Hospital Clínic, la vivienda se ubica a pocos minutos a pie de la nueva zona peatonal de l’Eixample y goza de todo tipo de servicios en las inmediaciones. 

Contacte directamente con Barnaquatre llamando al 93 488 33 00 para recibir más información o concertar una visita según su disponibilidad horaria.",1,1,475000,0,0,"Carrer de Viladomat, 217",08029,False,2023-12-22T10:04:13.703,5,95.0,6,20.0,22,,,,,4,2,92,5,4,0,0,0,0,11,0,Sur,6ª planta,1.0,,,,,,,1,9,22,24,28,32,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Eixample,La Nova Esquerra de l'Eixample,La Nova Esquerra de l'Eixample,724,9,8,232,376,8019,0,1151,280,1,41.38505,2.1498346
181170834,2,1,False,False,False,SANTA TERESA EXPORTACIONES SL.,"Situado en una de las zonas más céntricas de Barcelona en una Finca Regia del 1.900 totalmente restaurada, esta propiedad de diseño ubicada en la cuarta planta; impresiona no sólo por su fantástica ubicación, sino también por su diseño elegante y cómoda distribución.

Desde la entrada se accede al salón comedor, y a una increíble cocina de diseño, que facilita por su distribución el diario vivir, a la vez que permite integrar perfectamente los espacios mediante materiales como la madera, los suelos hidráulicos y una cuidada iluminación. Desde el salón se puede acceder a un balcón con vistas al Mercado del Ninot.
Luego separado de esta zona mediante una puerta nos encontramos con la zona de noche que cuenta con dos dormiotrios, y dos cuartos de baño completos. La suite principal ha sido diseñada con la idea de disfrutar la luz al máximo. Por esta razón el baño posee luz natural mediante un paño fijo de vidrio, que le da un toque único.

Dentro del dormitorio principal hay espacio para generar un lugar de trabajo si es necesario, ya que es muy amplio.

La vivienda cuenta con bomba de frío calor, iluminación de sitio e indirecta. Todos los materiales utilizados son de alta calidad y la cocina está equipada con electrodomésticos apanelados.

El edificio cuenta con terraza comunitaria en la última planta la cual posee unas vistas muy despejadas espectaculares a la montaña.
La finca cuenta con un asensor vidriado muy cómodo.

Ubicado enfrente al Mercado del Ninot, y muy cerca del Hospital Clínico, este piso posee una excelente comunicación mediante transporte público con los diferentes puntos de la ciudad condal, como así también cuenta con variedad de colegios, comercios, restaurantes y todo tipo de servicio que facilita el diario vivir.",1,1,655000,35000,0,Carrer de Mallorca,08036,False,2023-11-23T00:31:02.33,5,125.0,5,24.0,41,1.0,,,,2,2,103,5,0,0,0,0,9,9,0,,4ª planta,1.0,+ 100 años,,,,,,1,,,,,32,,2,3,18,25,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Eixample,L'Antiga Esquerra de l'Eixample,L'Antiga Esquerra de l'Eixample,724,9,8,232,376,8019,0,1151,279,0,41.38759,2.15405
181639994,2,1,False,False,False,ATICO,"Este magnífico piso en venta se encuentra en Las Corts, en calle paralela  a la Diagonal y al lado de el Corte Inglés, ofrece unas vistas despejadas y una ubicación privilegiada. Totalmente reformado, este luminoso inmueble es ideal para familias que buscan comodidad y funcionalidad.

Con un total de 4 habitaciones, incluyendo 3 habitaciones dobles y 1 individual, y 3 baños, uno de ellos en suite, este piso ha sido cuidadosamente diseñado para adaptarse a tus necesidades. Además, se ha eliminado el antiguo lavadero para aprovechar al máximo el espacio.

La cocina, de estilo moderno y cuadrada, cuenta con una zona de office perfecta para disfrutar de momentos en familia. El salón, lleno de luz natural, te brinda un espacio acogedor para relajarte y disfrutar de tus momentos de ocio. Además, podrás disfrutar de una pequeña terraza para tomar el aire fresco.

Este inmueble cuenta con suelos de parket , aire acondicionado por conductos y calefacción de gas natural, asegurando tu confort en todas las estaciones del año. Además, la finca cuenta con servicio de conserjería y la posibilidad de adquirir una plaza de parking.

La zona en la que se encuentra este piso ofrece una excelente comunicación en transporte público, así como áreas verdes , jardins de Jaume Vives, el parque de Cervantes etc... para disfrutar de paseos al aire libre. Además, encontrarás numerosas tiendas, supermercados y un mercado en Les Corts, garantizando tu comodidad en el día a día.

¡No pierdas la oportunidad de adquirir este maravilloso piso en Las Corts! Contáctanos hoy mismo para más información. ¡Te esperamos!",1,1,850000,0,0,,08028,False,2024-01-18T18:20:34.167,7,999.0,7,999.0,32,,,,,4,3,140,7,4,0,0,0,7,11,0,Sur,6ª planta,1.0,50 a 70 años,,,,,,1,,,,,32,,2,3,,,84,10,21,77,131,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Les Corts,La Maternitat i Sant Ramon,La Maternitat i Sant Ramon,724,9,8,232,376,8019,0,1148,330,0,41.385853,2.1269379
181107559,2,1,False,False,False,MONIKA RÜSCH,"Fantástica oportunidad de venta en una de las mejores zonas de Barcelona, rodeada de servicios y comercios.Se trata de un piso alto, en quinta planta en finca regia con ascensor. Está totalmente reformado y amueblado, listo pata entrar a vivir. Cuenta con un salón-comedor con cocina abierta totalmente equipada. 2 habitaciones dobles, una exterior con salida a balcón y otra que da a patio y 1 baño completo con ducha. Es un piso de diseño con suelos de parquet, calefacción y aire acondicionado por conductos. Techos con volta catalana y acabados de gran calidad. ",1,1,395000,0,0,,08015,False,2023-11-16T17:40:05.393,5,31.0,5,148.0,30,,,,,2,1,53,5,8,0,0,0,0,0,0,Oeste,,1.0,,1.0,,,,,1,9,22,24,,32,,2,3,,25,,,21,,131,23,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Eixample,La Nova Esquerra de l'Eixample,La Nova Esquerra de l'Eixample,724,9,8,232,376,8019,0,1151,280,0,41.38115,2.1485715
181507527,2,1,False,False,False,PROPERTIES INVESTMENT MADRID-,"Descubre este encantador piso reformado, situado en la deseada zona de la Sagrada Familia, en Barcelona. Con una ubicación privilegiada cerca del emblemático Parque de les Glories, este luminoso hogar ofrece una combinación perfecta entre comodidad, modernidad y una ubicación ideal para disfrutar al máximo de la vida urbana.

Su orientación sur nos ofrece una magnifica entrada de luz en su amplias estancias principales; dormitorio y salón.

El piso consta de dos dormitorios, cocina y baño reformados y un salon-comedor que nos aguarda una gran comodidad en todas sus estancias.

Además, la ubicación estratégica del piso asegura el acceso a una amplia gama de servicios, como tiendas, restaurantes, supermercados y centros de ocio. La proximidad al Parque de les Glories brinda la oportunidad de disfrutar de momentos de tranquilidad y relajación en un entorno verde y sereno, mientras que la icónica Sagrada Familia se convierte en el telón de fondo de la vida cotidiana.


 No pierdas la oportunidad de hacer de este lugar tu nuevo hogar.

¡No dudes en contactar para concertar una visita!



",1,1,339000,0,0,,08013,False,2024-01-04T13:24:29.2,7,999.0,7,999.0,9,,,,,2,1,80,7,4,0,0,0,8,6,0,Sur,1ª planta,1.0,70 a 100 años,,,,,,,,,,,,,2,3,,,84,,21,77,131,,15,16,81,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Eixample,Sagrada Família,Sagrada Família,724,9,8,232,376,8019,0,1151,278,0,41.405495,2.1815488
181799103,2,6,False,False,False,Walter Haus,"Este exclusivo ático se sitúa en la intersección de Diagonal con Paseo de Gracia, consolidándose como la joya arquitectónica de la mejor ubicación en la ciudad. La fusión entre la imponente Diagonal y el emblemático Paseo de Gracia confiere a esta residencia una posición única y codiciada, marcando un hito en la distinción urbana.

Características Esenciales de la vivienda:

Con una superficie en planta de 550m2 nos encontramos con un interior de 200 m2 y con una parte exterior de 350m2 de terrazas destinadas a darle una continuidad a la zona interior de la vivienda que además cuenta con otra terraza en la planta superior de 110m2 destinada íntegramente a chill out, esta vivienda se distingue por su cuidado diseño y funcionalidad, diseñada por el prestigioso estudio de arquitectura ÂBAG.

La cocina, diseñada a medida y equipada con electrodomésticos de primera gama, se integra de manera armoniosa en la zona de día. El pasillo, revestido en madera de nogal, sirve como conexión fluida entre las áreas, añadiendo un toque cálido a la distribución interior. El suelo de mármol con ribetes de broce le da mucha frescor y calidez, incorporándose con los suelos de las terraza que son de piedra natural generando así un ambiente muy fresco y muy Mediterráneo. Cada uno de los tres dormitorios en suite ofrece privacidad y dos de ellos, acceso directo a las terrazas. La suite principal, con chimenea, vestidor y área exterior privada con bañera, encarna la sofisticación y comodidad que caracterizan esta residencia única.

Terrazas Extraordinarias:

Las terrazas, auténticas protagonistas, destacan por su tamaño, vista y ubicación incomparables.

-Terrazas exteriores:

 La terraza principal constan de un segundo salón exterior frente a la sala de estar, una zona con barra alta, una zona de solárium con hamacas y una zona privada de la máster suite. Contamos con una lámina de agua que ocupa casi la totalidad del ancho de fachada, con una ducha exterior en cada extremo.

 La terraza colindante a la cocina consta de una segunda cocina exterior con horno castellano, comedor exterior completo y barra de bar. Zona oculta de aguas blanca y tendedero, terraza privada de la segunda suite y gimnasio exterior. Desde esta zona se accede mediante escalera exterior a la terraza superior.

-Terraza en planta superior: Encontramos una amplia zona de Chill Out, con diferentes tumbonas, una zona con una cama de día, dos duchas exteriores y Barra de Bar.

Entrega en Septiembre de 2024.

En Walter Haus, nos complace presentar esta arquitectura excepcional que redefine los estándares de vida de lujo. Contáctenos para explorar cómo esta propiedad excepcional puede convertirse en su hogar en la ubicación más codiciada de Barcelona.",1,1,4975000,0,0,Carrer de Còrsega,08008,False,2024-02-02T18:28:15.553,7,999.0,7,999.0,13,2.0,,,,3,4,335,7,5,0,0,8,0,10,0,Sureste,5ª planta,1.0,,,Reformado,,,,1,9,22,,,,,2,,18,,,10,21,,131,,,,,17,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Eixample,Dreta de l'Eixample,Dreta de l'Eixample,724,9,8,232,376,8019,0,1151,282,0,41.395462,2.1584136
178220073,2,3,False,False,False,Zona Alta MG Real Estate S.L,"Casa en venta en Can Caralleu, Barcelona. 

Magnífica vivienda de diseño a 4 vientos. 

Ubicada alta de sarria con vistas sobre toda la ciudad, rodeada de naturaleza y tranquilidad. 850m² divididos en 4 plantas, dispone de ascensor. La casa tiene 6 dormitorios y 6 baños además de 4 salones. Desde el salón principal acceso a la terraza con piscina y vistas directa a toda la ciudad incluso el mar. Amplio garaje con capacidad para 5 coches y motos.

Para más información o realizar una visita no dude en contactar con nosotros.",1,1,3400000,0,0,Camí de Lliça,08017,False,2023-06-16T18:38:04.307,4,134.0,4,134.0,34,,,,,6,6,850,4,5,1,1,1,5,0,0,Sureste,,,20 a 30 años,,Casi nuevo,Gas Natural,Gas Natural,1.0,1,9,22,24,,32,109,2,,18,25,84,10,21,,131,23,15,,,17,6,7,11,52,79,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Sarrià - Sant Gervasi,Sarrià,Sarrià,724,9,8,232,376,8019,0,1143,286,0,41.402447,2.1069722
181713639,2,1,False,False,False,"Finca Regia Real Estate, Scp","Hacía tiempo que no veía una pieza igual. 
De verdad. 
No pretendo exagerar sensaciones porque luego pierden credibilidad. 


Te voy a decir las cosas que más me han llamado la atención de este piso y las que le aportan valor y confort. 
Y estoy convencido que si estás buscando una vivienda de este tipo, no te conformas con cualquier cosa. 


En primer lugar, destacar la ubicación, que es de lo más TOP de l’Eixample. 
En c/ Mallorca entre Passeig de Gràcia i Pau Claris, en una finca de 1910, de revista. 
Vas a alucinar al entrar con la altura de los techos. En las fotos los verás altos, pero en directo impresiona más. 


Y cuando mires arriba verás las obras de arte de estos techos artesonados. 
En cada estancia son distintos, y han sido totalmente restaurados por profesionales especializados con un minucioso trabajo. 


Ahora bajarás la vista y te embaucarán los suelos de mosaico Nolla. 
Están en perfecto estado. Y también son distintos en cada estancia. 
Estos techos y suelos hacen que al moverte por casa disfrutes de distintas obras de arte como si fueran las salas de un museo, que además se complementan con algunas ventanas con vidrieras de la época. 


Otra cosa que también considero importante mantener en un piso así son las puertas y ventanas originales de madera y los radiadores de hierro forjado. 
Y la chimenea… La uses o no, da calidez y categoría. 
No se decir si el marco es original o no, pero es impresionante. 


Un elemento muy característico y especial que tiene esta pieza es la glorieta. 
Es especial porque muy pocas fincas la tienen, y las que sí, sólo en los principales. 
En éste piso se ubica en la suite que da a la c/ Mallorca.

Del otro lado del piso, en la zona de día, tenemos la galería y salida a una terracita de 7 m2 para una perfecta cena en pareja. 


En cuanto a la distribución y al confort: 
Calefacción por radiadores, de los antiguos, de los buenos. 
Aire acondicionado con bomba frío calor por conductos por todo el piso, con dos zonas diferenciadas. 
4 dormitorios, todos con armarios hechos a medida (1 en suite) 
2 baños completos con ducha 
1 gran sala usada como despacho 
La carpintería exterior es la original de madera, restaurada y con doble cerramiento en la c/ Mallorca 
La cocina es de estilo minimalista, unida al comedor y está totalmente equipada. 


Por último, existe la posibilidad de adquirir el mobiliario o parte de él, a convenir con la oferta. 


Si te ha gustado tanto como a nosotros contáctanos y te informaremos de todo aquello que necesites y te lo mostraremos encantados 
Si quieres tener una idea de lo que puede valer tu piso puedes hacer una simulación en valoracion.fincaregia.es
 
 
 
 
 
 
 
 
 
 
 
 
 
 
",1,1,1780000,0,0,Mallorca,08008,False,2024-01-26T00:04:29.537,7,999.0,7,999.0,47,,1.0,,,4,2,195,7,4,1,1,1,9,5,0,Sur,Principal,1.0,+ 100 años,0.0,Casi nuevo,Gas Natural,Gas Natural,,1,9,22,24,28,32,,2,,18,25,,10,21,77,131,,15,,,,,,,,,29,119,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Eixample,Dreta de l'Eixample,Dreta de l'Eixample,724,9,8,232,376,8019,0,1151,282,0,41.39483,2.163263
181121641,2,1,False,False,False,REIVAX SANT ANDREU S.L.,"Si Real Estate le presenta un formidable ático en venta recientemente reformado con una distribución totalmente cuadrada, sin metros perdidos, que consta de un salón independiente con salida a la terraza, dos habitaciones, antes tres, con armarios empotrados, todas las instalaciones nuevas, muy bien equipadas con pavimentos de parquet, aire acondicionado, calefacción y cerramientos de aluminio blanco con cristal de cámara. El baño y la cocina han sido reformados con una línea actual moderna de calidad.
La orientación es una de las cosas a destacar puesto que puedes disfrutar del sol por las mañanas y al mismo tiempo regalarte vistas panorámicas.
Sin duda la situación es inmejorable, con todos los servicios delante de casa; Hipercor, Corte Ingles, eje comercial de todo tipo de comercios.. . Sin contar con la cercanía a cualquier transporte público como el metro de línea 1 Fabra i Puig, la estación de tren cercanías, infinidad de líneas de autobús, salida de zona norte de Barcelona, etc. ¡No dudes en concretar visita te gustara! Nota: al precio indicado deberán añadir los gastos e impuestos de la compraventa, así como los honorarios de agencia del 2%+IVA.",1,1,339000,0,0,Avinguda Meridiana,08030,False,2023-11-17T19:20:00.61,7,999.0,7,999.0,25,1.0,,,,2,1,70,7,7,0,1,2,6,31,0,Este,Otro,1.0,30 a 50 años,,Muy bien,,Gas Natural,,1,,,,,,109,2,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Sant Andreu,Sant Andreu de Palomar,Sant Andreu de Palomar,724,9,8,232,376,8019,0,1146,309,0,41.42971,2.1838138
177615105,2,1,False,False,False,Inmuebla Retail Sociedad Limitada,"Se vende un piso de 100 m2 con 2 habitaciones en una ubicación privilegiada. El apartamento cuenta con amplias ventanas que proporcionan mucha luz natural y una vista impresionante a un tranquilo interior de manzana ajardinado. La propiedad fue completamente renovada hace unos años  con acabados de alta calidad y cuenta con una cocina equipada con electrodomésticos modernos. Las habitaciones son espaciosas y disponen de amplios vestidores. El salón comedor tiene una elegante chimenea. El amplio baño dispone de una ducha a ras de suelo. Además, el edificio, un antiguo palacete renovado hace unos años,  cuenta con ascensor y portero automático para mayor comodidad. 
El Barrio Gótico es una céntrica área de Barcelona compuesta por callejuelas y plazas que reflejan el pasado medieval de la ciudad con la presencia de palacios, residencias e iglesias góticas. En el distrito de Ciutat Vella, en el corazón la ciudad, el Barrio Gótico es el núcleo más antiguo y una de las zonas más hermosas de Barcelona. El agradable barrio está delimitado por Las Ramblas, Vía Laietana, el Paseo de Colón y la Plaza de Cataluña.
",1,1,495000,55000,0,Avinyo,08002,False,2023-04-28T11:55:17.667,5,159.0,5,36.0,61,,,1.0,,2,1,110,5,0,0,0,0,9,9,0,,4ª planta,1.0,+ 100 años,0.0,,,,,,9,22,24,,32,,2,3,,25,,,21,77,131,23,,,,,,,,,,,119,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Ciutat Vella,Barri Gòtic,Barri Gòtic,724,9,8,232,376,8019,0,1152,350,0,41.380474,2.1784801
