id,type,subtype,external_contract,invalid,new,advertiser,description,transactions,transaction_type,value,reduced,periodicity_id,ubication,zipcode,highlight,date,energy_letter,energy_value,environment_letter,environment_value,multimedia_type_2,multimedia_type_12,multimedia_type_5,multimedia_type_21,rooms,bathrooms,surface,energyCertificate,orientation,hotWater,heating,conservationState,antiquity,floor,surfaceLand,antiquity,floor,elevator,orientation,furnished,parking,conservationState,heating,hotWater,Parquet,Cocina Equipada,Lavadero,Ascensor interior,Calefacción,Balcón,Aire acondicionado,Terraza,Jardín Privado,Trastero,Z. Comunitaria,Armarios,Patio,Cocina Office,Piscina comunitaria,Electrodomésticos,Gres Cerámica,Piscina,Gimnasio,Alarma,Horno,Suite - con baño,country,level1,level2,level3,level4,level5,level6,level7,level8,upperLevel,countryId,level1Id,level2Id,level3Id,level4Id,level5Id,level6Id,level7Id,level8Id,accuracy,latitude,longitude
181681238,2,1,False,False,False,"De Jorge Gorriz Asociados, S.L","Te presentamos un apartamento de 110 m² construidos, ubicado en una calle céntrica y tranquila. Este piso, situado en la 4ª planta de un edificio con ascensor, impresiona por su generosa distribución y una sensación de amplitud que lo distingue.
 Al entrar, nos encontramos con una gran cocina abierta, equipada con numerosos armarios y espacio de almacenaje. Además, cuenta con una espaciosa despensa que incluye estantes y una conveniente zona de aguas que se puede utilizar como lavadero. La cocina viene equipada con horno, microondas, lavavajillas y refrigerador de vinos.
 El apartamento cuenta con un amplio salón-comedor que se conecta a la gran cocina estilo office. El dormitorio principal es una verdadera joya, con un vestidor a medida que incluye barras para colgar ropa, pantaloneros, numerosos cajones y estantes, ofreciendo una organización excepcional y un generoso espacio de almacenamiento. Además, hay otras dos habitaciones igualmente cómodas y versátiles, que se pueden adaptar según tus necesidades personales.
 El apartamento cuenta con dos baños completos y destaca por su bonita distribución y su buen estado de conservación. Dispone de suelos de parquet, persianas motorizadas, aire acondicionado y calefacción con radiadores en todas las estancias.
 En cuanto a las comodidades del edificio, la finca cuenta con un ascensor y dos conserjes para tu comodidad.
 Si estás interesado en conocer más sobre esta propiedad, no dudes en contactarnos.
 ",1,1,530000,0,0,Avinguda de Sarrià,08029,False,2024-01-23T12:23:00.593,5,123,5,26,24,,,,3,2,95,5,0,0,0,0,7,9,0,50 a 70 años,4ª planta,1.0,,,,,,,9,131,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Les Corts,Barri de les Corts,Barri de les Corts,724,9,8,232,376,8019,0,1148,329,0,41.390553,2.143324
181899236,2,1,False,False,False,Finques Perramon S.L,"Vivienda a la venta en el distrito Horta Guinardó, barrio Can Baro.     La vivienda consta de 106 metros cuadrados construidos según catastro, muy bien distribuidos, actualmente dispone de 4 habitaciones, una dobles principal con salida al balcón, otra doble y dos simples amplias, todas las habitaciones exteriores. Gran salón comedor con salida al amplio balcón, dos baños completos (que fácilmente se podrían convertir en tres). Cocina con salida al lavadero independiente.     El inmueble esta ubicado en un quinto real, predomina el silencio y la luz natural en todas las estancias. Dispone de calefacción por radiadores, puertas interiores de madera, ventanas de climalit, suelo de gres.     La finca construida en el año 1973, sin barreras arquitectónicas, muy bien conservada y con dos ascensores.     En los bajos de la finca se encuentra un parque infantil, negocios, estacionamiento y otros servicios, además de unas vistas increíbles de la cuidad de Barcelona.",1,1,333000,0,0,Calle Albert Llanas,08024,False,2024-02-08T18:16:15.48,7,999,7,999,34,,,,4,2,106,7,7,0,0,0,7,0,0,50 a 70 años,,1.0,Este,0.0,,,,,,,109,119,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Horta - Guinardó,Can Baró,Can Baró,724,9,8,232,376,8019,0,1149,341,0,41.417168,2.1573367
181899235,2,1,False,False,False,Finques Perramon S.L,"Oportunidad Inversionistas:  Amplio y luminoso piso en venta de 3 habitaciones y 2 baños - Principal en suite. Reformado, completamente amueblado y equipado con electrodomésticos, cuenta además con galería cerrada para uso como despacho. Acabados de calidad, cocina con vitrocerámica, cerramientos de aluminio con cristales con rotura térmica, entre otros. Edificio cuenta con ascensor.      Ubicación privilegiada en uno de los núcleos más antiguo del distrito de San Martí: El Clot, que destaca por ser una de las zonas de mayor rentabilidad en Barcelona. Estratégicamente situado en zona residencial, cuenta con gran conectividad al transporte público, a solo un paso de la estación de metro El Clot y Av. Meridiana, cercano al Distrito tecnológico @22, centros de estudios, el moderno centro comercial Westfield Glories, parques, entre otros servicios y puntos de interés para quienes quieren vivir en Barcelona.  Actualmente cuenta con arrendatario.     Para más información sobre la rentabilidad del inmueble y otros antecedentes contacte con nosotros.",1,1,400000,0,0,,08018,False,2024-02-08T18:16:15.42,5,113,5,23,15,,,,3,2,107,5,7,0,0,0,8,0,0,70 a 100 años,,1.0,Este,0.0,,,,,,,,119,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Sant Martí,El Camp de l'Arpa del Clot,El Camp de l'Arpa del Clot,724,9,8,232,376,8019,0,1145,305,0,41.41005,2.186297
181692883,2,1,False,False,False,PUNTO PONT DEL TREBALL SL.,"REF. AB-HOSTA-319

CONTACTA CON NOSOTROS AL WHATSAPP AL 6.3.4.9.4.7.2.5.4. ANDREA.

LA CASA AGENCY PRESENTA: 

6ª Planta real con ascensor en finca del año 1958 que consta de 77m² distribuidos en: 

- 3 habitaciones ( 1 doble exterior con salida a balcón, 1 doble interior y 1 individual interior a patio de manzana) 
- Salón comedor con buena entrada de luz y salida al balcón
 - Cocina completa, en buen estado e independiente de tamaño estándar con salida a patio de luces.
 - Baño completo de 3 piezas con ventilación a patio de luces.
 - Tiene doble orientación aportando una buena entrada de luz
 - Galería utilizable como lavadero o cualquier opción. 

El piso está dividido en dos orientaciones, con acceso a cada una de ellas por un pasillo. Al pasar por la cocina, el baño y la habitación doble interior, llegamos a la escalera. 

Este inmueble es una oportunidad única para aquellos que buscan un hogar en una zona exclusiva de Barcelona. ¡No pierdas la oportunidad de visitarlo!

 Si lo que buscas es un piso en una zona demandada de la ciudad, esta es tu oportunidad. ¡No te pierdas la posibilidad de disfrutar de este espectacular inmueble! ¿Te preocupa el precio?

 El precio de venta no incluye impuestos ni gastos adicionales, pero estamos seguros de que el valor que ofrece este inmueble es incomparable. 

¿Qué esperas? ¡Ven a visitarlo ahora mismo!",1,1,309000,10000,0,Avinguda Diagonal,08013,False,2024-01-24T11:39:45.453,5,999,5,99,40,1.0,,,3,1,77,5,0,0,0,0,7,0,0,50 a 70 años,,1.0,,,,,,,,,,,3,32,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Eixample,Fort Pienc,Fort Pienc,724,9,8,232,376,8019,0,1151,281,0,41.402252,2.182796
176466932,2,6,False,False,False,FINCAS A.G. NUÑEZ,"En pleno barrio de la Sagrera, comercializamos un excelente ático con espectacular terraza. Situado en la octava planta de un cuidado
edificio con Ascensor, la vivienda totalmente exterior se distribuye mediante un amplio comedor con acceso directo a terraza. Baño
completo con ventana; habitación principal con acceso tambien a la terraza. Las 2 habitaciones restantes son amplias , luminosas y
exteriores. La gran cocina nos da acceso a una zona exterior de descanso, cerrada, consolidada urbanisticamente , con vistas y
habilitada como un segundo comedor. Posibilidad de instalar un aseo de cortesía. Dispone de una amplia terraza, soleada y con
espectaculares vistas de Barcelona. Zona ideal para barbacoas, juegos y disfrute con familia y amigos. Vivienda de aproximadamente
75 m2 mas 30m2 de terraza. Muy cerca de la futura estación de la Sagrera, cerca de todo tipo de locales comerciales, colegios...Muy
bien comunicado por transporte publico en el centro de la ciudad.",1,1,423000,7000,0,Carrer de Berenguer de Palou,08027,False,2023-01-19T13:36:18.66,5,50,5,150,41,,,,3,1,105,5,0,0,0,0,7,13,0,50 a 70 años,8ª planta,1.0,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Sant Andreu,La Sagrera,La Sagrera,724,9,8,232,376,8019,0,1146,311,0,41.425167,2.191452
164358154,2,52,False,False,False,VERTIX,"ELS JARDINS DE CAN MATEU
Últimos pisos.
Un lugar que enamora a primera vista . Los Jardines de Can Mateu es una promoción residencial en una de los zonas más singulares de Horta y junto al emblemático barrio de la Font d´en Fargas. 

Una arquitectura respetuosa e integradora donde se podrá elegir la vivienda que más se adapte a tu estilo de vida. Tipologías de 3 y 4 dormitorios, exclusivas plantas bajas, dúplex y áticos con excepcionales vistas. Todas las viviendas disponen de grandes terrazas. En el centro del conjunto residencial se dispone de una zona comunitaria privada ajardinada 

Así mismo el proyecto dispone de trasteros y plazas de aparcamiento para vehículos y motocicletas.Y pensando en una movilidad más sostenible cada vivienda cuenta con aparcamiento para bicicletas.
En la Baixada de Can Mateu se ha construido un nuevo parque público, un espacio verde ajardinado y con juegos infantiles ante tu nueva vivienda.

Acabados de calidad ,materiales cálidos y de diseño. Sistema de climatización y producción de agua caliente por aerotermia , un sistema renovable, ecológico y respetuoso con el medio ambiente.
Proximidad en espacios naturales como el Parque natural de Collserola, el Parque de los Tres Turons o el Parque del Laberinto.
Eje comercial , instalaciones y equipaciones deportivas, sanitarias y culturales. A destacar el Mercado de Horta, el Passeig Maragall y la Plaça Eivissa con diversidad de establecimientos de comercio de proximidad priorizando la atención más personalizada.
Amplía oferta de escuelas de primaria y de secundaria, centros públicos, concertados y privados. Campus y Escuelas Universitarias de gran prestigio.

Buenas comunicaciones con toda la ciudad, rápido acceso a la Ronda de Dalt y diversidad de transporte público, entre ellos L-5 de metro y varias líneas de bus
",1,1,585000,0,0,Calle Llobregos,08032,False,2022-07-29T08:24:44.123,1,26,1,4,12,,1.0,,3,2,89,1,0,0,0,0,0,3,0,,Bajos,,,,2.0,,,,,,,,3,,1,10,7,11,12,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Horta - Guinardó,La Font d'en Fargues,La Font d'en Fargues,724,9,8,232,376,8019,0,1149,335,0,41.42773,2.16356
181897683,2,6,False,False,False,VERTIX,"ELS JARDINS DE CAN MATEU
Un lugar que enamora a primera vista . Los Jardines de Can Mateu es una promoción residencial en una de los zonas más singulares de Horta y junto al emblemático barrio de la Font d´en Fargas. 

Una arquitectura respetuosa e integradora donde se podrá elegir la vivienda que más se adapte a tu estilo de vida. Tipologías de 3 y 4 dormitorios, exclusivas plantas bajas, dúplex y áticos con excepcionales vistas. Todas las viviendas disponen de grandes terrazas. En el centro del conjunto residencial se dispone de una zona comunitaria privada ajardinada 

Así mismo el proyecto dispone de trasteros y plazas de aparcamiento para vehículos y motocicletas.Y pensando en una movilidad más sostenible cada vivienda cuenta con aparcamiento para bicicletas.
En la Baixada de Can Mateu se ha construido un nuevo parque público, un espacio verde ajardinado y con juegos infantiles ante tu nueva vivienda.

Acabados de calidad ,materiales cálidos y de diseño. Sistema de climatización y producción de agua caliente por aerotermia , un sistema renovable, ecológico y respetuoso con el medio ambiente.
Proximidad en espacios naturales como el Parque natural de Collserola, el Parque de los Tres Turons o el Parque del Laberinto.
Eje comercial , instalaciones y equipaciones deportivas, sanitarias y culturales. A destacar el Mercado de Horta, el Passeig Maragall y la Plaça Eivissa con diversidad de establecimientos de comercio de proximidad priorizando la atención más personalizada.
Amplía oferta de escuelas de primaria y de secundaria, centros públicos, concertados y privados. Campus y Escuelas Universitarias de gran prestigio.

Buenas comunicaciones con toda la ciudad, rápido acceso a la Ronda de Dalt y diversidad de transporte público, entre ellos L-5 de metro y varias líneas de bus
",1,1,799000,0,0,Calle Llobregos,08032,False,2024-02-08T16:38:12.387,1,21,1,3,19,,1.0,,4,2,107,1,0,0,0,0,0,9,0,,4ª planta,,,,2.0,,,,,,,,3,,1,10,7,11,12,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Horta - Guinardó,La Font d'en Fargues,La Font d'en Fargues,724,9,8,232,376,8019,0,1149,335,0,41.42773,2.16356
179022341,2,1,False,False,False,VERTIX,"ELS JARDINS DE CAN MATEU
Últimos pisos.
Un lugar que enamora a primera vista . Los Jardines de Can Mateu es una promoción residencial en una de los zonas más singulares de Horta y junto al emblemático barrio de la Font d´en Fargas. 

Una arquitectura respetuosa e integradora donde se podrá elegir la vivienda que más se adapte a tu estilo de vida. Tipologías de 3 y 4 dormitorios, exclusivas plantas bajas, dúplex y áticos con excepcionales vistas. Todas las viviendas disponen de grandes terrazas. En el centro del conjunto residencial se dispone de una zona comunitaria privada ajardinada 

Así mismo el proyecto dispone de trasteros y plazas de aparcamiento para vehículos y motocicletas.Y pensando en una movilidad más sostenible cada vivienda cuenta con aparcamiento para bicicletas.
En la Baixada de Can Mateu se ha construido un nuevo parque público, un espacio verde ajardinado y con juegos infantiles ante tu nueva vivienda.

Acabados de calidad ,materiales cálidos y de diseño. Sistema de climatización y producción de agua caliente por aerotermia , un sistema renovable, ecológico y respetuoso con el medio ambiente.
Proximidad en espacios naturales como el Parque natural de Collserola, el Parque de los Tres Turons o el Parque del Laberinto.
Eje comercial , instalaciones y equipaciones deportivas, sanitarias y culturales. A destacar el Mercado de Horta, el Passeig Maragall y la Plaça Eivissa con diversidad de establecimientos de comercio de proximidad priorizando la atención más personalizada.
Amplía oferta de escuelas de primaria y de secundaria, centros públicos, concertados y privados. Campus y Escuelas Universitarias de gran prestigio.

Buenas comunicaciones con toda la ciudad, rápido acceso a la Ronda de Dalt y diversidad de transporte público, entre ellos L-5 de metro y varias líneas de bus
",1,1,530000,0,0,Calle Llobregos,08032,False,2023-09-04T15:57:34.027,1,21,1,3,17,,1.0,,3,2,90,1,0,0,0,0,0,6,0,,1ª planta,,,,2.0,,,,,,,,3,,1,10,7,11,12,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Horta - Guinardó,La Font d'en Fargues,La Font d'en Fargues,724,9,8,232,376,8019,0,1149,335,0,41.42773,2.16356
177812125,2,1,False,False,False,Toll Wohnen Barcelona,"¿Buscas una inversión inteligente en Barcelona? 
Tenemos el piso perfecto para ti.
Este espacioso apartamento de 88m2 ofrece una excelente oportunidad para aquellos que desean tener una propiedad en una de las ciudades más vibrantes de Europa y obtener ingresos adicionales alquilándola por meses cuando no la estén utilizando.

Con 3 habitaciones y 2 baños, este piso reformado ofrece un espacio cómodo y funcional tanto para ti como para tus futuros inquilinos. La abundante luz natural crea un ambiente acogedor y agradable que tus huéspedes apreciarán.

Ubicado estratégicamente en Via Laietana, a solo unos pasos de la emblemática Plaza Catalunya, este piso ofrece una ubicación privilegiada para disfrutar de todo lo que Barcelona tiene para ofrecer. Con su proximidad a las principales atracciones turísticas, tiendas exclusivas, restaurantes y una amplia red de transporte público, tus inquilinos disfrutarán de una experiencia inolvidable en la ciudad.

Además, la inclusión de una plaza de parking en la misma finca garantiza la comodidad y facilidad de acceso para tus inquilinos. No tendrán que preocuparse por encontrar estacionamiento en una zona tan concurrida.

Con armarios empotrados, tus inquilinos tendrán espacio más que suficiente para almacenar sus pertenencias de manera organizada y mantener el piso ordenado durante su estancia.

No pierdas la oportunidad de adquirir esta propiedad versátil que te permitirá disfrutar de tu tiempo en Barcelona y generar ingresos adicionales a través del alquiler a corto plazo. Contáctanos hoy mismo para programar una visita y descubrir el potencial de esta increíble propiedad.""",1,1,540000,20000,0,Cl Via Laietana  Pl: Pt:  Barcelona (barcelona),08003,False,2023-05-12T19:15:11.107,5,155,5,38,43,,,,3,2,96,5,0,0,0,0,9,9,0,+ 100 años,4ª planta,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Ciutat Vella,Barri Gòtic,Barri Gòtic,724,9,8,232,376,8019,0,1152,350,0,41.387287,2.1736479
181694986,2,1,False,False,False,"Punto La Gavarra, Sl","Se vende piso en el barrio familiar en Sant Martí de Provençals, muy cerca de la Comisaria de Sant Martí y Rambla Guipuzcoa, con una superficie construida de 71mts y una superficie útil de 61mts según CATASTRO.
Este inmueble, construido en el año 1965 con ascensor, semi-exterior, cuenta con tres habitaciones, una doble y dos individuales, perfectas para adaptarse a las necesidades de tu familia.
Además, dispone de un baño completo, un acogedor salón-comedor y una cocina con salida a un patio.
Tiene ORIENTACIÓN SUR.
El edificio cuenta con ascensor, lo que facilita el acceso a la vivienda.
El precio de venta del inmueble aquí expuesto no incluye ni impuestos ni gastos que grava la compraventa (ITP o IVA), gastos notariales o registrales, tampoco honorarios de agencia por intermediación inmobiliaria ni gestión hipotecaria (si procede)",1,1,182000,5000,0,Carrer de la Selva de Mar,08020,False,2024-01-24T13:30:11.48,5,160,5,52,28,,,,3,1,71,5,0,0,0,0,7,6,0,50 a 70 años,1ª planta,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Sant Martí,Sant Martí de Provençals,Sant Martí de Provençals,724,9,8,232,376,8019,0,1145,298,0,41.417957,2.1974316
