Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
08001 Abrera;0800101 Abrera distrito 01;;Renta neta media por persona ;2021;15.134
08001 Abrera;0800101 Abrera distrito 01;0800101001 Abrera sección 01001;Renta neta media por persona ;2021;14.486
08001 Abrera;0800101 Abrera distrito 01;0800101002 Abrera sección 01002;Renta neta media por persona ;2021;13.995
08001 Abrera;0800101 Abrera distrito 01;0800101003 Abrera sección 01003;Renta neta media por persona ;2021;18.269
08001 Abrera;0800101 Abrera distrito 01;0800101004 Abrera sección 01004;Renta neta media por persona ;2021;16.169
08001 Abrera;0800101 Abrera distrito 01;0800101005 Abrera sección 01005;Renta neta media por persona ;2021;14.131
08001 Abrera;0800101 Abrera distrito 01;0800101007 Abrera sección 01007;Renta neta media por persona ;2021;14.765
08001 Abrera;0800101 Abrera distrito 01;0800101008 Abrera sección 01008;Renta neta media por persona ;2021;15.712
08002 Aguilar de Segarra;0800201 Aguilar de Segarra distrito 01;;Renta neta media por persona ;2021;16.275
08002 Aguilar de Segarra;0800201 Aguilar de Segarra distrito 01;0800201001 Aguilar de Segarra sección 01001;Renta neta media por persona ;2021;16.275
08003 Alella;0800301 Alella distrito 01;;Renta neta media por persona ;2021;20.889
08003 Alella;0800301 Alella distrito 01;0800301001 Alella sección 01001;Renta neta media por persona ;2021;20.367
08003 Alella;0800301 Alella distrito 01;0800301002 Alella sección 01002;Renta neta media por persona ;2021;21.260
08003 Alella;0800301 Alella distrito 01;0800301003 Alella sección 01003;Renta neta media por persona ;2021;20.657
08003 Alella;0800301 Alella distrito 01;0800301004 Alella sección 01004;Renta neta media por persona ;2021;21.293
08004 Alpens;0800401 Alpens distrito 01;;Renta neta media por persona ;2021;17.081
08004 Alpens;0800401 Alpens distrito 01;0800401001 Alpens sección 01001;Renta neta media por persona ;2021;17.081
08005 Ametlla del Vallès, L';0800501 Ametlla del Vallès, L' distrito 01;;Renta neta media por persona ;2021;19.464
08005 Ametlla del Vallès, L';0800501 Ametlla del Vallès, L' distrito 01;0800501001 Ametlla del Vallès, L' sección 01001;Renta neta media por persona ;2021;18.192
08005 Ametlla del Vallès, L';0800501 Ametlla del Vallès, L' distrito 01;0800501002 Ametlla del Vallès, L' sección 01002;Renta neta media por persona ;2021;20.623
08005 Ametlla del Vallès, L';0800501 Ametlla del Vallès, L' distrito 01;0800501003 Ametlla del Vallès, L' sección 01003;Renta neta media por persona ;2021;20.282
08005 Ametlla del Vallès, L';0800501 Ametlla del Vallès, L' distrito 01;0800501004 Ametlla del Vallès, L' sección 01004;Renta neta media por persona ;2021;21.001
08005 Ametlla del Vallès, L';0800501 Ametlla del Vallès, L' distrito 01;0800501005 Ametlla del Vallès, L' sección 01005;Renta neta media por persona ;2021;16.088
08006 Arenys de Mar;0800601 Arenys de Mar distrito 01;;Renta neta media por persona ;2021;14.995
